text,label
"The State alleged they hacked Sabata Petros Chale , 39 , to death in Marikana West , on December 8 , 2016 , allegedly over the allocation of low cost ( RDP ) houses at Marikana West Extension 2 .",1
"The  suspects  said they  hacked  one e a , 39 , to  death in  North   West , on  December 8 , 2016 ,  saidly over the  construction of  rental  rent (  affordable )  housing at  North   West  Ward 2 .",1
"The  police  says they  stabbed  businessman a ki , 39 , to  post in  the  East , on  November 8 , 2016 ,  saysly over the  purchase of  housing  density (  subsidized )  land at  the  East  ward 2 .",1
"The  gang  claims they  shot  resident i ia , 39 , to  land in  Central  North , on  June 8 , 2016 ,  claimsly over the  sale of  resettlement  income (  rent )  houses at  Central  North  Block 2 .",1
"The  accused  alleges they  burnt  Mr o i , 39 , to  prison in  South  South , on  July 8 , 2016 ,  allegesly over the  issue of  mixed  cost (  cheap )  plots at  South  South  Station 2 .",1
"The  group  claimed they  tortured  activist  Ali io , 39 , to  arrest in  Victoria  Village , on  August 8 , 2016 ,  claimedly over the  demolition of  low  rise (  free )  toilets at  Victoria  Village  Phase 2 .",1
"Chale was allegedly chased by a group of about 30 people and was hacked to death with pangas , axes and spears .",0
"He was  then  attacked by a  group of about 30  men and was  hacked to  death with  knives ,  axes and  knives .",0
"She was  being  surrounded by a  mob of about 30  people and was  beaten to  pieces with  swords ,  swords and  swords .",0
"he was  later  kidnapped by a  gang of about 30  youths and was  stabbed to  bits with  clubs ,  knives and  clubs .",0
"Cruz was  allegedly  abducted by a  crowd of about 30  attackers and was  beat to  pulp with   sticks ,  sticks and  stones .",0
"and was  soon  assaulted by a  party of about 30  assailants and was  shot to  murder with  stones ,  clubs and  rocks .",0
His attackers allegedly drank his blood .,0
His  wife  then  drank his  blood .,0
His  daughter  literally  took his  beer .,0
His  son  also  stole his  coffee .,0
His  children  even  drew his  semen .,0
His  girlfriend  reportedly  tasted his  urine .,0
"Tip asked Mathunjwa why he had not `` explicitly '' told armed , striking mineworkers to leave the hill where they had gathered and return to work .",0
"I  asked  him why he had not ``  earlier ''  ordered  the ,  unarmed  men to  leave the  area where they had  gathered and  go to  break .",0
"He  ask  Brown why he had not ``  sooner ''  asked  other ,  and  soldiers to  clear the  room where they had  been and  return to  raid .",0
"We  asks  Jones why he had not ``   ''  instructed   armed ,  armed  farmers to  climb the  building where they had  fallen and  get to  throw .",0
"She  asking  Smith why he had not ``  already ''  told  his ,  protesting   pickers to  abandon the  field where they had  stood and  returned to  pick .",0
"They ula  Schultz why he had not ``  simply ''  threatened  protesting ,  striking  miners to  exit the  place where they had  landed and  continue to  drill .",0
`` It the protest was something which happened outside the labour structures .,0
`` It the  strike was something which  was  within the  police  movement .,0
`` It the  union was something which  went  in the  security  union .,0
`` It the  case was something which  happened  inside the  government  camp .,0
`` It the  latter was something which  existed  outside the  administrative  centre .,0
`` It the  violence was something which  occurred  to the  official  market .,0
"Police opened fire , killing 34 striking workers and wounding 78 while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 .",1
"Police  opened  fire ,  killing 34  mine  them and  injuring 78 while  trying to  disperse a  crowd  protesting on a  road  near  Vale 's  copper mine in  Angola on  July 16 .",1
"Officers  returned  fired ,  shooting 34  mining  people and  wounding 78 while  attempting to  control a  protest  demonstrating on a  highway  overlooking  Anglo 's  gold mine in  Tanzania on  June 16 .",1
"They  open  gunfire ,  injuring 34  striking  officers and  arresting 78 while  seeking to  arrest a  mob  gathering on a  street  at  Platinum 's  diamond mine in  Congo on  April 16 .",1
"Authorities  exchanged  firing ,   wounded 34  security  protesters and  wounded 78 while  working to  protect a  demonstration  gathered on a  hill  outside  Sony 's  platinum mine in  Zimbabwe on  March 16 .",1
"He  opening  fires ,   construction 34  construction , and  injured 78 while  failing to  disarm a  group  fighting on a  beach  above  SA 's  nickel mine in  Perth on  May 16 .",1
"The three-member Farlam Commission , chaired by retired judge Ian Farlam , was established by President Jacob Zuma to probe into the violence and the deaths of 44 people in wage-related protests .",1
"The three-member  Electoral  Commission ,  headed by  retired  General  Mohamed  Electoral , was  established by  President  Jacob  Rhodes to  look into the  violence and the  deaths of 44  people in  police-related  violence .",1
"The three-person  Independent  commission ,  chaired by  former  general  George  Independent , was  appointed by  president  Jay  Jacob to  inquire into the   death and the  death of 44  protesters in  election-cutting  clashes .",1
"The three-man  Integrity  inquiry ,  led by  veteran  judge  Ahmed  Integrity , was  created by  Chancellor  Donald  Joseph to  investigate into the  killings and the  killing of 44  workers in  drug-war  disputes .",1
"The three-nation  National  Inquiry ,  run by  convicted  diplomat  James  National , was  formed by  leader  Barry s to  probe into the  arrests and the  murder of 44  civilians in  violence-price  incidents .",1
"The three-strong  Police  Panel ,  lead by  the  soldier  Robert  Police , was  ordered by  Premier  David  Z to  delve into the  killing and the  killings of 44  men in  security-level  attacks .",1
Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers ' protest in the area .,1
Lt-Col .  Smith  said the  officer  filed the  charges at the  local  police  station  during a  recent '  strike in the  area .,1
Det-Chief onel  Johnson  says the  officers  lodged the  charge at the  nearest  Police  headquarters  following a  June '  protest in the  city .,1
Ser-Pol  Paul  Williams  confirmed the  department  made the  crime at the  nearby  fire  department  after a  May '  dispute in the  town .,1
Pol-Captain  Kevin  Taylor  reports the   railway  registered the  body at the  regional  railway  barracks  amid a  July '  demonstration in the  spring .,1
Major-Major  Michael  Brown  confirms the  complainant  submitted the  blame at the  city  train  precinct  about a  peaceful '  meeting in the  village .,1
Table grape harvesters started protesting about their working conditions in De Doorns last month .,0
The t  growers  were  complaining about their  working  conditions in  the  Leon last  year .,0
French  salt  farmers  began  talking about their  work  environment in  Los union last  week .,0
German ts  workers  started  complaints about their  living  hours in  The  Janeiro last  month .,0
Some au  producers  are  tweeting about their  growing  practices in  San ville last  summer .,0
"Local te  miners ,  writing about their  labor  situation in  Mount  Pere last  fall .",0
The protests spread to 15 other towns and resulted in two deaths and the destruction of property .,1
The  fire  spread to 15 other  cities and  resulted in two  deaths and the  destruction of  property .,1
The  outbreak  expanded to 15 other  towns and  ended in two  arrests and the  loss of  homes .,1
The  attack  extended to 15 other  states and  resulting in two  shootings and the  damage of  houses .,1
The  fires  stretched to 15 other  locations and  culminated in two  murders and the  theft of  buildings .,1
The  blaze  moved to 15 other  municipalities and  result in two  fatalities and the  looting of  properties .,1
The farmworkers ' strike resumed on Tuesday when their demands were not met .,1
The  workers '  strike  ended on  Monday when their  demands were not  met .,1
The  teachers '  strikes  began on  Tuesday when their  conditions were not  addressed .,1
The  miners '  protests  continued on  Wednesday when their  requests were not  fulfilled .,1
The  union '  protest  started on  Thursday when their  demand were not  satisfied .,1
The  students '  striking  resumed on  Friday when their  concerns were not  heard .,1
"NHAI Case : Cops Fail to Produce Accused in Court 10th September 2015 03:49 AM KOCHI : Anoop George , the main accused in the case related to attack on the office of the National Highway Authority of India ( NHAI ) at Kalamassery , could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday , after jail authorities in Coimbatore failed to arrange escort for him .",1
"Attack  Attack :  Jail  Fail to  Present  Him in  Attack 10th  May 2015 03:49 AM  IST :  Michael  Kumar , the  main  accused in the  case  related to  attack on the  office of the  National  Highway  Authority of  India ( Attack ) at  Chennai , could not be  produced before the  Central  District and  Special  Sessions  Attack on  Friday , after  the  officials in  Kerala  failed to  provide  bail for him .",1
"Bomb  Case :  Authorities  Unable to  Show  Man in   raids 10th  Sep 2015 03:49 AM  ET :  James  Sharma , the  prime  suspect in the  cases  relating to  raids on the  headquarters of the National  Health  Administration of  Industries ( Bomb ) at  Mumbai , could not be  present before the  Kerala  House and  Additional  High   raids on  Monday , after  police  authorities in  Chennai  tried to  arrange  it for him .",1
"Terror  Attacks :  Police  Failure to  Meet  Victim in  Incident 10th  Aug 2015 03:49 AM  Kerala :  David  Singh , the  key  convict in the  FIR  pertaining to  attacks on the  premises of the  national  Healthcare  Association of  Investigation ( Terror ) at  Delhi , could not be  presented before the  entire  Collector and  Rural  Judicial  Incident on  Saturday , after  local  guards in  Delhi  refused to  secure  one for him .",1
"Gun  Blast :  Officials  Struggle to  Place  Leader in  Assault 10th  Oct 2015 03:49 AM  PT :  John  Roy , the  principal  complainant in the  trial  linked to  raid on the  personnel of the  State  Housing  Agency of  Indian ( Gun ) at  Bangalore , could not be  seen before the  Additional  Intermediate and  and  Police  Assault on  Thursday , after  prison  officers in  Mumbai  intervened to  furnish  custody for him .",1
"Hack  FIR :  Prison  Failed to  Attend  Inspector in  Case 10th  March 2015 03:49 AM  REPORT :  Joseph  Gupta , the  chief  witness in the  matter  connected to  firing on the  officials of the  Motor  Aviation  Alliance of  Ireland ( Hack ) at  Kerala , could not be  brought before the  Capital  Civil and  Census   Case  Case on  Tuesday , after  security  staff in  India  attempted to  find  time for him .",1
It was in January this year a group of persons attacked the NHAI office at Kalamassery and distributed notices supporting armed revolt against the government .,0
It was in  February this  year a  group of  youths  stormed the  post  office at  Karachi and  issued  leaflets  of  the  struggle against the  government .,0
It was in  April this  that a  number of  students  attacked the  police  headquarters at  Delhi and  distributed  literature  for  a  resistance against the  Government .,0
It was in  March this  time a  mob of  militants  occupied the   regime  offices at  Islamabad and  passed  flyers  declaring  their  protests against the  regime .,0
It was in  January this  decade a  handful of  protesters  entered the  district  Headquarters at  Mumbai and  circulated  materials  on  armed  agitation against the  establishment .,0
"It was in  May this , a  gang of  activists  visited the  party  building at  Leh and  posted  papers  about  youth  rebellion against the  Centre .",0
Both Anoop and Ramanan are also accused in the case related to attack on the Nitta Gelatin office at Panampilly Nagar last year .,0
Both  Kumar and  Kumar are also  accused in the  case  related to  raids on the  BJP 's  temple at  Gandhi  late last  year .,0
Both  Singh and  Sharma are also  charged in the  cases  relating to  attack on the  RSS  Bank  Temple at  Ram  Road last  month .,0
Both  Sharma and  Singh are also  named in the  FIR  linked to  raid on the  Hindu  police  statue at  Krishna  district last  week .,0
Both  he and  Gupta are also  wanted in the  probe  pertaining to  attacks on the  Gandhi  Group  restaurant at  Raj  early last  December .,0
"Both  Gupta and  others are also  involved in the  charges  connected to  assault on the  NGO  Post  Society at  Lal , last  September .",0
VS condemns attack on NSS Karayogams 08th May 2011 05:00 AM THIRUVANANTHAPURAM : Chief Minister V S Achuthanandan has condemned the recent attacks on NSS Karayogams .,0
CM  condemns   attack on   S S  on 08th May 2011 05:00 AM  ET :  Home  Minister NC  S VS has  condemned the  recent   attacks on   S S  on .,0
PM  condemn  attack on  NS  Mon 08th May 2011 05:00 AM  IST :  Defence  Secretary PS S  Kumar has  denounced the  terrorist   attacks on  NS  Mon .,0
 CM   criticised  assaults on  RCACA  Chennai 08th May 2011 05:00 AM  CET :  Chief  minister IM CA  Krishna has  criticised the  alleged  assaultss on  RCACA  Chennai .,0
Government  slams  Attacks on  INarma  Kerala 08th May 2011 05:00 AM  CarmaT :  Information  Justice ND arma  Singh has  regretted the  terror  Attackss on  INarma  Kerala .,0
India  rejects  Attack on  CN K  On 08th May 2011 05:00 AM  Kerala :  Prime  secretary D K  K  V has  condemn the  reported  Attacks on  CN K  On .,0
"When asked about the series of attacks on Karayogams , he said that such attacks could not be entertained .",0
"When  asked about the  possibility of   attacks on  Twitter , he  said that such   attacks could not be  prevented .",0
"When  questioned about the  reports of  assaults on  Sony , he  replied that such  assaults could not be  predicted .",0
"When  pressed about the  threat of  bombings on  Facebook , he  responded that such  bombings could not be  tolerated .",0
"When  told about the  allegations of  attack on  the , he  stated that such  attack could not be  ignored .",0
"When  talking about the  issue of  raids on  Paris , he  answered that such  raids could not be  justified .",0
"The NSS Karayogams were attacked in Thrissur and Thiruvananthapuram after NSS secretary Sukumaran Nair had said that the NSS did not support the LDF in the recent Assembly elections , as it did not want Achuthanandan to come back to power for another term .",1
"The  Tamil  headquarters were  held in  Chennai and  Chennai after  Tamil  leader  N  Rao had  said that the  Tamil did not  support the  BJP in the  Kerala  Assembly  elections , as it did not  want  it to  come back to  power for another  term .",1
"The  two  offices were  formed in  Kerala and  Kerala after  two  chief  K  Kumar had  announced that the  two did not  back the  Congress in the  state  state  polls , as it did not  wish  them to  go back to  Parliament for another  stint .",1
"The  RSS  workers were  organised in  Bangalore and  Bangalore after  RSS  president  M  Stalin had  stated that the  RSS did not  defeat the  government in the  2014  assembly  election , as it did not  expect  him to  get back to  government for another  time .",1
"The  BJP  leaders were  called in  Delhi and  Mumbai after  BJP  President  S  S had  claimed that the  BJP did not  help the  party in the  last  general  Elections , as it did not  allow  BJP to  be back to  politics for another  election .",1
"The  Hindu  units were  launched in  Mumbai and  here after  Hindu  spokesperson  C  MP had  declared that the  Hindu did not  vote the  Left in the  State  local  Election , as it did not  support  Modi to  return back to  office for another  decade .",1
The attack on Karayogams had sparked sharp reactions from the CPM leaders .,1
The  attack on  journalists had  drawn  strong  criticism from the  religious  leadership .,1
The  remarks on  Parliament had  provoked  angry  condemnation from the  opposition  community .,1
The  attacks on  Gandhi had  triggered  mixed  reactions from the  BJP I .,1
The  statement on  Modi had  received  furious  reaction from the  Hindu  members .,1
The  remark on  Kejriwal had  attracted  sharp  protests from the  Congress  camp .,1
`` I am going to argue your evidence that strikers at Marikana in August 2012 attacked the police should be kicked out .,0
`` I am  going to  take your  argument that  students at  Occupy in  May 2012  and the  police should be  thrown out .,0
`` I am  prepared to  accept your  claim that  protesters at  Liverpool in  October 2012  against the  referee should be  tossed out .,0
`` I am  here to  consider your  contention that  people at  Trident in  August 2012  protesting the  stadium should be  ruled out .,0
`` I am  trying to  say your  view that  those at  Olympia in  March 2012  believed the  players should be  taken out .,0
`` I am  about to  believe your  position that  youths at  Waterloo in  January 2012  felt the  coach should be  left out .,0
"Mpofu said Lt-Col Kaizer Modiba was fabricating his evidence about the violence during the mineworkers ' strike at Marikana , near Rustenburg in the North West , because he had not been in a position to witness an attack .",1
"Police  said  Lt-Col onel a was  withholding his  story about the  violence during the  miners '  strike at  Ceres ,  near  Nelson in the  North  West , because he had not been in a  position to  witness an  incident .",1
"He  says  Maj-Gen . u was  withdrawing his  report about the   attack during the  teachers '  protest at  Rand ,  in  Victoria in the  South  East , because he had not been in a  place to  investigate an  attack .",1
"Prosecutors  alleges  Lieutenant-General  Paul we was  delaying his  information about the  killings during the  workers '  meeting at  Vale ,  outside  Georgetown in the  Cape  Cape , because he had not been in a  situation to  prevent an  assault .",1
"They  alleged  general-general  Victor o was  giving his  account about the  incident during the  soldiers '  protests at  Waterloo ,  at  Kingston in the  Far  Region , because he had not been in a  location to  launch an  action .",1
"Sources  believes  ex-Gov  Michael i was  reviewing his  reports about the   explosions during the  farmers '  rally at  NUM ,  a  Rand in the  German  Province , because he had not been in a  chance to  stage an  explosion .",1
"`` I observed the attack on the police , I have no doubt about it , '' Modiba said during cross-examination .",1
"`` I  ordered the  attack on the  bus , I have no  doubt about it , ''  he  said during  cross-examination .",1
"`` I  directed the  assault on the  police , I have no  knowledge about it , ''  she  stated during  re-fire .",1
"`` I  did the  attacks on the  consulate , I have no  idea about it , ''  Singh  says during  self-check .",1
"`` I  regret the  ambush on the  convoy , I have no  doubts about it , ''  Kumar  claimed during  counter-talk .",1
"`` I  condemn the  impact on the  mosque , I have no  regrets about it , ''  Gupta  added during  pre-checks .",1
He said he was about 100 metres away when he witnessed the attack .,0
He  said he was about 100  yards  away when he  heard the  explosion .,0
He  says he was about 100  feet  out when he  saw the  shooting .,0
He  estimated he was about 100  meters  outside when he  witnessed the  attack .,0
He  estimates he was about 100  metres  across when he  felt the  incident .,0
He  claims he was about 100 m  running when he  noticed the  crash .,0
"Modiba said he saw the aggressive strikers running alongside a police Nyala , charging at police .",0
"He  said he  saw the  hunger  man  standing  toward a   police  car ,  shooting at   police .",0
"Another  says he  witnessed the  two  suspect  march  towards a  black  vehicle ,  shouting at  black .",0
"Johnson  claimed he  spotted the  student  driver  walking  from a  fleeing  van ,  firing at  fleeing .",0
"She  claims he  noticed the  three  woman  walk  into a  burning  truck ,  yelling at  burning .",0
"Brown  confirmed he  watched the  other  attacker  running  to a  white  officer ,  screaming at  white .",0
"The commission , chaired by retired Judge Ian Farlam , is investigating the deaths of 44 people during the wage-related strike at Lonmin 's platinum mining operations at Marikana in August 2012 .",0
"The  inquiry ,  chaired by  retired  judge  Mohammad  Smith , is  investigating the  deaths of 44  miners during the   mining-related  strike at  Vale 's  diamond  mining  operations at  Vale in  October 2012 .",0
"The  commission ,  headed by  Chief  General  Peter  Kelly , is  probing the  death of 44  workers during the  mine-led  scandal at  Anglo 's  gold  mine  operation at  Angola in  August 2012 .",0
"The  tribunal ,  led by  former  general  Mohammed  Robertson , is  exa exploration the  killing of 44  people during the  violence-driven  unrest at  Platinum 's  copper  exploration  unit at  Lon in  July 2012 .",0
"The  panel ,  run by  District  Judge  Michael  Brown , is  reviewing the  killings of 44  employees during the  copper-based  dispute at  Shell 's  platinum  mines  site at  Newcastle in  December 2012 .",0
"The  inquest ,  lead by  Crown  Col  Ahmed  Clarke , is  considering the  murder of 44  men during the  protest-hour  violence at  SA 's  coal  ore  facility at  Perth in  April 2012 .",0
"On August 16 , 2012 , 34 people , mostly mineworkers , were shot dead in a clash with police who were trying to disarm and disperse them .",1
"On  July 16 , 2012 , 34  people , mostly  protesters , were  shot  dead in a  shootout with  police who were  trying to  arrest and  detain them .",1
"On  May 16 , 2012 , 34  protesters , mostly  civilians , were  found  at in a  confrontation with  soldiers who were  attempting to  disarm and  disperse them .",1
"On  June 16 , 2012 , 34  demonstrators , mostly  teenagers , were  reported  down in a  clash with  officers who were  seeking to  detain and  arrest them .",1
"On  April 16 , 2012 , 34  men , mostly  foreigners , were  confirmed  wounded in a  struggle with  authorities who were  ordered to  control and  disarm them .",1
"On  March 16 , 2012 , 34  workers , mostly  children , were  left  randomly in a  standoff with  policemen who were  sent to  stop and  evacuate them .",1
"Sonia Gandhi was speaking at a function after flagging off 12 new trains , along with Railway Minister Mamata Banerjee , through videoconferencing at Kanpur railway station .",0
"Mr  Gandhi was  speaking at a  ceremony after  handing off 12  passenger  trains , along with  Chief  Minister ata  Singh , through  Sunday at  a  railway  station .",0
