text,label
"The State alleged they hacked Sabata Petros Chale , 39 , to death in Marikana West , on December 8 , 2016 , allegedly over the allocation of low cost ( RDP ) houses at Marikana West Extension 2 .",1
"The suspects alleged they hacked Singh , 30 , to death in North West , on Tuesday , allegedly over the allocation of low cost ( RDP ) houses at North West Extension 2 .",1
"The police alleged they hacked Patel , 35 , to death in the West , on Friday , allegedly over the allocation of low cost ( RDP ) houses at the West Extension 2 .",1
"The gang alleged they hacked Ibrahim , 28 , to death in Central West , on Wednesday , allegedly over the allocation of low cost ( RDP ) houses at Central West Extension 2 .",1
"Chale was allegedly chased by a group of about 30 people and was hacked to death with pangas , axes and spears .",0
"Chale was allegedly chased by a group of unidentified people and was hacked to death with pangas , axes and spears .",0
"Chale was allegedly chased by a group of armed people and was hacked to death with pangas , axes and spears .",0
"Chale was allegedly chased by a group of masked people and was hacked to death with pangas , axes and spears .",0
His attackers allegedly drank his blood .,0
"Tip asked Mathunjwa why he had not `` explicitly '' told armed , striking mineworkers to leave the hill where they had gathered and return to work .",0
"Tip asked him why he had not `` explicitly '' told armed , striking mineworkers to leave the hill where they had gathered and return to work .",0
"Tip asked Brown why he had not `` explicitly '' told armed , striking mineworkers to leave the hill where they had gathered and return to work .",0
"Tip asked Jones why he had not `` explicitly '' told armed , striking mineworkers to leave the hill where they had gathered and return to work .",0
`` It the protest was something which happened outside the labour structures .,0
"Police opened fire , killing 34 striking workers and wounding 78 while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 .",1
"Police opened fire , killing two striking workers and wounding dozens while trying to disperse a group gathered on a hill near Vale 's platinum mine in Angola on Tuesday .",1
"Police opened fire , killing three striking workers and wounding 43 while trying to disperse a group gathered on a hill near Anglo 's platinum mine in Tanzania on Friday .",1
"Police opened fire , killing five striking workers and wounding 50 while trying to disperse a group gathered on a hill near Platinum 's platinum mine in Congo on Wednesday .",1
"The three-member Farlam Commission , chaired by retired judge Ian Farlam , was established by President Jacob Zuma to probe into the violence and the deaths of 44 people in wage-related protests .",1
"The five-member commission , chaired by retired judge Joseph , was established by President Morsi to probe into the violence and the deaths of several people in wage-related protests .",1
"The six-member committee , chaired by retired judge Thomas , was established by President Obama to probe into the violence and the deaths of nine people in wage-related protests .",1
"The three-member panel , chaired by retired judge Singh , was established by President Duterte to probe into the violence and the deaths of three people in wage-related protests .",1
Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers ' protest in the area .,1
Lt-Col Andre Traut said the teenager laid the complaint at the local police station following a farmworkers ' protest in the area .,1
Lt-Col Andre Traut said the teenager laid the complaint at the nearest police station following a farmworkers ' protest in the area .,1
Lt-Col Andre Traut said the teenager laid the complaint at the nearby police station following a farmworkers ' protest in the area .,1
Table grape harvesters started protesting about their working conditions in De Doorns last month .,0
Table grape harvesters started protesting about their working conditions in Francech .,0
Table grape harvesters started protesting about their working conditions in Chinaberg .,0
Table grape harvesters started protesting about their working conditions in Germanyburg .,0
The protests spread to 15 other towns and resulted in two deaths and the destruction of property .,1
The protests spread to several other towns and resulted in several deaths and the destruction of property .,1
The protests spread to many other towns and resulted in two deaths and the destruction of property .,1
The protests spread to three other towns and resulted in three deaths and the destruction of property .,1
The farmworkers ' strike resumed on Tuesday when their demands were not met .,1
The farmworkers ' strike resumed on Monday when their demands were not met .,1
The farmworkers ' strike resumed on Tuesday when their demands were not met .,1
The farmworkers ' strike resumed on Wednesday when their demands were not met .,1
"NHAI Case : Cops Fail to Produce Accused in Court 10th September 2015 03:49 AM KOCHI : Anoop George , the main accused in the case related to attack on the office of the National Highway Authority of India ( NHAI ) at Kalamassery , could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday , after jail authorities in Coimbatore failed to arrange escort for him .",1
"NHAI Case : Cops Fail to appear in Court At, KOCHI : Anoop George , the main accused in the case related to attack on the office of Government of India ( NHAI ) at Chennai , could not be produced before District and Sessions on Friday , after jail authorities in Kerala failed to arrange escort for him .",1
"NHAI Case : Cops Fail to Present in Court at. KOCHI : Anoop George , the main accused in the case related to attack on the office of President of India ( NHAI ) at Mumbai , could not be produced before Civil and Court on Monday , after jail authorities in Chennai failed to arrange escort for him .",1
"NHAI Case : Cops Fail to Be in Court |: KOCHI : Anoop George , the main accused in the case related to attack on the office of Authority of India ( NHAI ) at Delhi , could not be produced before Judicial and Jail on Saturday , after jail authorities in Delhi failed to arrange escort for him .",1
It was in January this year a group of persons attacked the NHAI office at Kalamassery and distributed notices supporting armed revolt against the government .,0
It was in 1984 a group of persons attacked the NHAI office at Karachi and distributed notices supporting armed revolt against the government .,0
It was in 1967 a group of persons attacked the NHAI office at Delhi and distributed notices supporting armed revolt against the government .,0
It was in 1966 a group of persons attacked the NHAI office at Islamabad and distributed notices supporting armed revolt against the government .,0
Both Anoop and Ramanan are also accused in the case related to attack on the Nitta Gelatin office at Panampilly Nagar last year .,0
Both Kumar and Kumar are also accused in the case related to attack on the BJP Gelatin office at Panampilly Nagar. .,0
Both Singh and Sharma are also accused in the case related to attack on the RSS Gelatin office at Panampilly Nagar in .,0
Both Sharma and Singh are also accused in the case related to attack on the Hindu Gelatin office at Panampilly Nagar here .,0
VS condemns attack on NSS Karayogams 08th May 2011 05:00 AM THIRUVANANTHAPURAM : Chief Minister V S Achuthanandan has condemned the recent attacks on NSS Karayogams .,0
"VS condemns attack on students 08th September, THIRUVANANTHAPURAM : Chief Minister Singh has condemned the recent attacks on students .",0
VS condemns attack on N 08th August. THIRUVANANTHAPURAM : Chief Minister Modi has condemned the recent attacks on N .,0
VS condemns attack on Chennai 08th January in THIRUVANANTHAPURAM : Chief Minister Kerala has condemned the recent attacks on Chennai .,0
"When asked about the series of attacks on Karayogams , he said that such attacks could not be entertained .",0
"When asked about the series of attacks on Twitter , he said that such attacks could not be entertained .",0
"When asked about the series of attacks on Sony , he said that such attacks could not be entertained .",0
"When asked about the series of attacks on Facebook , he said that such attacks could not be entertained .",0
"The NSS Karayogams were attacked in Thrissur and Thiruvananthapuram after NSS secretary Sukumaran Nair had said that the NSS did not support the LDF in the recent Assembly elections , as it did not want Achuthanandan to come back to power for another term .",1
"The Tamil Karayogams were attacked in Thrissur and Chennai after Tamil secretary general had said that the Tamil did not support the LDF in the recent Assembly elections , as it did not want Achuthanandan to come back to power for another term .",1
"The two Karayogams were attacked in Thrissur and Kerala after two secretary General had said that the two did not support the LDF in the recent state elections , as it did not want Achuthanandan to come back to power for another term .",1
"The RSS Karayogams were attacked in Thrissur and Bangalore after RSS secretary treasurer had said that the RSS did not support the LDF in the recent assembly elections , as it did not want Achuthanandan to come back to power for another term .",1
The attack on Karayogams had sparked sharp reactions from the CPM leaders .,1
The attack on journalists had sparked sharp reactions from the religious leaders .,1
The attack on Parliament had sparked sharp reactions from the opposition leaders .,1
The attack on Gandhi had sparked sharp reactions from the BJP leaders .,1
`` I am going to argue your evidence that strikers at Marikana in August 2012 attacked the police should be kicked out .,0
`` I am going to argue your evidence that strikers at Occupy in March attacked the police should be kicked out .,0
`` I am going to argue your evidence that strikers at Liverpool in Athens attacked the police should be kicked out .,0
`` I am going to argue your evidence that strikers at Trident in 2014 attacked the police should be kicked out .,0
