text,label
"The State alleged they hacked Sabata Petros Chale , 39 , to death in Marikana West , on December 8 , 2016 , allegedly over the allocation of low cost ( RDP ) houses at Marikana West Extension 2 .",1
"The State alleged they hacked one Petros Chale, 39, to death in Marikana West, on December 8, 2016, allegedly over the allocation of low cost ( RDP ) houses at Marikana West Extension 2.",1
"The State alleged they hacked businessman Petros Chale, 39, to death in Marikana West, on December 8, 2016, allegedly over the allocation of low cost ( RDP ) houses at Marikana West Extension 2.",1
"The State alleged they hacked resident Petros Chale, 39, to death in Marikana West, on December 8, 2016, allegedly over the allocation of low cost ( RDP ) houses at Marikana West Extension 2.",1
"Chale was allegedly chased by a group of about 30 people and was hacked to death with pangas , axes and spears .",0
"Chale was allegedly chased by a group of about 30 people and was hacked to death with pangas, axes and spears.",0
"Chale was allegedly chased by a group of about 30 people and was hacked to pieces with pangas, axes and spears.",0
"Chale was allegedly chased by a group of about 30 people and was hacked to bits with pangas, axes and spears.",0
His attackers allegedly drank his blood .,0
His wife allegedly drank his blood.,0
His daughter allegedly drank his blood.,0
His son allegedly drank his blood.,0
"Tip asked Mathunjwa why he had not `` explicitly '' told armed , striking mineworkers to leave the hill where they had gathered and return to work .",0
"Tip asked Mathunjwa why he had not `` explicitly '' told armed, striking mineworkers to leave the hill where they had gathered and return to work.",0
"Tip asked Mathunjwa why he has not `` explicitly '' told armed, striking mineworkers to leave the hill where they had gathered and return to work.",0
"Tip asked Mathunjwa why he did not `` explicitly '' told armed, striking mineworkers to leave the hill where they had gathered and return to work.",0
`` It the protest was something which happened outside the labour structures .,0
`` It the protest was something which happened outside the labour structures.,0
`` It the protest was something which happened outside of labour structures.,0
`` It the protest was something which happened outside our labour structures.,0
"Police opened fire , killing 34 striking workers and wounding 78 while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 .",1
"Police opened fire, killing 34 striking workers and wounding 78 while trying to disperse a group gathered on a hill near Lonmin's platinum mine in Marikana on August 16.",1
"Police opened fire, killing 34 striking workers and wounding 78 while trying to disperse a group gathered on a hill overlooking Lonmin's platinum mine in Marikana on August 16.",1
"Police opened fire, killing 34 striking workers and wounding 78 while trying to disperse a group gathered on a hill at Lonmin's platinum mine in Marikana on August 16.",1
"The three-member Farlam Commission , chaired by retired judge Ian Farlam , was established by President Jacob Zuma to probe into the violence and the deaths of 44 people in wage-related protests .",1
"The three-member Farlam Commission, chaired by retired judge Ian Farlam, was established by President Jacob Zuma to probe into the violence and the deaths of 44 people in wage-related protests.",1
"The three-member Farlam Commission, chaired by retired judge Ian Farlam, was established under President Jacob Zuma to probe into the violence and the deaths of 44 people in wage-related protests.",1
"The three-member Farlam Commission, chaired by retired judge Ian Farlam, was established after President Jacob Zuma to probe into the violence and the deaths of 44 people in wage-related protests.",1
Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers ' protest in the area .,1
Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers'strike in the area.,1
Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers'protest in the area.,1
Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers'dispute in the area.,1
Table grape harvesters started protesting about their working conditions in De Doorns last month .,0
Table grape harvesters started complaining about their working conditions in De Doorns last month.,0
Table grape harvesters started talking about their working conditions in De Doorns last month.,0
Table grape harvesters started complaints about their working conditions in De Doorns last month.,0
The protests spread to 15 other towns and resulted in two deaths and the destruction of property .,1
The protests spread to 15 other towns and resulted in two deaths and the destruction of property.,1
The protests spread to 15 other towns and resulted in two deaths and the destruction of homes.,1
The protests spread to 15 other towns and resulted in two deaths and the destruction of houses.,1
The farmworkers ' strike resumed on Tuesday when their demands were not met .,1
The farmworkers'strike resumed on Tuesday after their demands were not met.,1
The farmworkers'strike resumed on Tuesday as their demands were not met.,1
The farmworkers'strike resumed on Tuesday but their demands were not met.,1
"NHAI Case : Cops Fail to Produce Accused in Court 10th September 2015 03:49 AM KOCHI : Anoop George , the main accused in the case related to attack on the office of the National Highway Authority of India ( NHAI ) at Kalamassery , could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday , after jail authorities in Coimbatore failed to arrange escort for him .",1
