,causal_text_w_pairs,corpus,doc_id,sent_id,eg_id,index,text,num_rs
0,"[""<ARG1>On Tuesday, the farmworkers resumed their strike</ARG1> when <ARG0>their demands weren't met</ARG0> ."", ""<ARG1>On Tuesday, the farmworkers resumed their strike</ARG1> when <ARG0>their demands didn't get met</ARG0> ."", ""<ARG1>On Tuesday, the farmworkers resumed their strike</ARG1> when <ARG0>their requests weren't met</ARG0> ."", ""<ARG1>On Tuesday, the farmworkers went on strike</ARG1> when <ARG0>their demands weren't met</ARG0> ."", ""<ARG1>On Tuesday, the farmworkers went on strike</ARG1> when <ARG0>their demands didn't get met</ARG0> ."", ""<ARG1>On Tuesday, the farmworkers went on strike</ARG1> when <ARG0>their requests weren't met</ARG0> ."", ""<ARG1>On Tuesday, the strike began again</ARG1> when <ARG0>their demands weren't met</ARG0> ."", ""<ARG1>On Tuesday, the strike began again</ARG1> when <ARG0>their demands didn't get met</ARG0> ."", ""<ARG1>On Tuesday, the strike began again</ARG1> when <ARG0>their requests weren't met</ARG0> .""]",0,0,0,0,0,0,0
1,"['<ARG0>There was an attack</ARG0> <ARG1>the CPM leader had a sharp reaction</ARG1> .', '<ARG0>A group of people attacked Karayyams</ARG0> <ARG1>the CPM leader had a sharp reaction</ARG1> .', '<ARG0>There was an attack against Karayyams</ARG0> <ARG1>the CPM leader had a sharp reaction</ARG1> .', '<ARG0>There was an attack</ARG0> <ARG1>the CPM leader had a very sharp reaction</ARG1> .', '<ARG0>A group of people attacked Karayyams</ARG0> <ARG1>the CPM leader had a very sharp reaction</ARG1> .', '<ARG0>There was an attack against Karayyams</ARG0> <ARG1>the CPM leader had a very sharp reaction</ARG1> .', '<ARG0>There was an attack</ARG0> <ARG1>the CPM leadership had a sharp reaction</ARG1> .', '<ARG0>A group of people attacked Karayyams</ARG0> <ARG1>the CPM leadership had a sharp reaction</ARG1> .', '<ARG0>There was an attack against Karayyams</ARG0> <ARG1>the CPM leadership had a sharp reaction</ARG1> .']",0,0,0,0,0,0,0
2,"['<ARG1>On September 9, the strike started</ARG1> , <ARG0>there was an increase in the percentage of demand</ARG0> .', '<ARG1>On September 9, the strike started</ARG1> , <ARG0>the demanding percentage increased by double digits</ARG0> .', '<ARG1>On September 9, the strike started</ARG1> , <ARG0>there was an increase of double digit percentage</ARG0> .', '<ARG1>On September 9, there was a strike</ARG1> , <ARG0>there was an increase in the percentage of demand</ARG0> .', '<ARG1>On September 9, there was a strike</ARG1> , <ARG0>the demanding percentage increased by double digits</ARG0> .', '<ARG1>On September 9, there was a strike</ARG1> , <ARG0>there was an increase of double digit percentage</ARG0> .', '<ARG1>On September 9, the strike commenced</ARG1> , <ARG0>there was an increase in the percentage of demand</ARG0> .', '<ARG1>On September 9, the strike commenced</ARG1> , <ARG0>the demanding percentage increased by double digits</ARG0> .', '<ARG1>On September 9, the strike commenced</ARG1> , <ARG0>there was an increase of double digit percentage</ARG0> .']",0,0,0,0,0,0,0
3,"['<ARG0>Police personnel were involved</ARG0> and <ARG1>they were urged to stop protesting</ARG1> - but to no avail .', '<ARG0>Police personnel tried to stop it</ARG0> and <ARG1>they were urged to stop protesting</ARG1> - but to no avail .', '<ARG0>Police personnel came to the rescue</ARG0> and <ARG1>they were urged to stop protesting</ARG1> - but to no avail .', '<ARG0>Police personnel were involved</ARG0> and <ARG1>they were told to stop protesting</ARG1> - but to no avail .', '<ARG0>Police personnel tried to stop it</ARG0> and <ARG1>they were told to stop protesting</ARG1> - but to no avail .', '<ARG0>Police personnel came to the rescue</ARG0> and <ARG1>they were told to stop protesting</ARG1> - but to no avail .', '<ARG0>Police personnel were involved</ARG0> and <ARG1>they were urged to stop the protest</ARG1> - but to no avail .', '<ARG0>Police personnel tried to stop it</ARG0> and <ARG1>they were urged to stop the protest</ARG1> - but to no avail .', '<ARG0>Police personnel came to the rescue</ARG0> and <ARG1>they were urged to stop the protest</ARG1> - but to no avail .']",0,0,0,0,0,0,0
4,"['<ARG1>The drivers of the bus were injured</ARG1> in <ARG0>there are attacks</ARG0> .', '<ARG1>The drivers of the bus were injured</ARG1> in <ARG0>there were attacks</ARG0> .', '<ARG1>Two people are hurt</ARG1> in <ARG0>there are attacks</ARG0> .', '<ARG1>Two people are hurt</ARG1> in <ARG0>there were attacks</ARG0> .', '<ARG1>Two drivers of a bus were injured</ARG1> in <ARG0>there are attacks</ARG0> .', '<ARG1>Two drivers of a bus were injured</ARG1> in <ARG0>there were attacks</ARG0> .']",0,0,0,0,0,0,0
5,"['<ARG0>There were stones thrown at the bus</ARG0> <ARG1>the driver is named Babu</ARG1> .', '<ARG0>There were stones thrown at the bus by HartAL supporters</ARG0> <ARG1>the driver is named Babu</ARG1> .', '<ARG0>There were stones thrown at the bus by supporters of the hartal</ARG0> <ARG1>the driver is named Babu</ARG1> .', '<ARG0>There were stones thrown at the bus</ARG0> <ARG1>the driver is named ""Babu.""</ARG1> .', '<ARG0>There were stones thrown at the bus by HartAL supporters</ARG0> <ARG1>the driver is named ""Babu.""</ARG1> .', '<ARG0>There were stones thrown at the bus by supporters of the hartal</ARG0> <ARG1>the driver is named ""Babu.""</ARG1> .', '<ARG0>There were stones thrown at the bus</ARG0> <ARG1>the driver is named ""Babu""</ARG1> .', '<ARG0>There were stones thrown at the bus by HartAL supporters</ARG0> <ARG1>the driver is named ""Babu""</ARG1> .', '<ARG0>There were stones thrown at the bus by supporters of the hartal</ARG0> <ARG1>the driver is named ""Babu""</ARG1> .']",0,0,0,0,0,0,0
6,"['<ARG0>There was a lot of violence there</ARG0> <SIG0>has <ARG1>fears of more attacks and heightened tensions</ARG1> .', '<ARG0>There was a lot of violence on the island of Yue Long</ARG0> <SIG0>has <ARG1>fears of more attacks and heightened tensions</ARG1> .', '<ARG0>There were a lot of violent incidents in the Yue Long area</ARG0> <SIG0>has <ARG1>fears of more attacks and heightened tensions</ARG1> .', '<ARG0>There was a lot of violence there</ARG0> <SIG0>has <ARG1>tensions have increased and there is fear of more attacks</ARG1> .', '<ARG0>There was a lot of violence on the island of Yue Long</ARG0> <SIG0>has <ARG1>tensions have increased and there is fear of more attacks</ARG1> .', '<ARG0>There were a lot of violent incidents in the Yue Long area</ARG0> <SIG0>has <ARG1>tensions have increased and there is fear of more attacks</ARG1> .', '<ARG0>There was a lot of violence there</ARG0> <SIG0>has <ARG1>fears of more attacks were heightened</ARG1> .', '<ARG0>There was a lot of violence on the island of Yue Long</ARG0> <SIG0>has <ARG1>fears of more attacks were heightened</ARG1> .', '<ARG0>There were a lot of violent incidents in the Yue Long area</ARG0> <SIG0>has <ARG1>fears of more attacks were heightened</ARG1> .']",0,0,0,0,0,0,0
7,"['<ARG1>Akram was wanted by the nia to be caught alive</ARG1> <SIG0>as</SIG0> <ARG0>he could give clues to the case</ARG0> .', '<ARG1>Akram was wanted by the nia to be caught alive</ARG1> <SIG0>as</SIG0> <ARG0>he could help resolve the case</ARG0> .', '<ARG1>Akram was wanted by the nia to be caught alive</ARG1> <SIG0>as</SIG0> <ARG0>clues could be provided in the case</ARG0> .', '<ARG1>Akram was wanted by the nia to be alive</ARG1> <SIG0>as</SIG0> <ARG0>he could give clues to the case</ARG0> .', '<ARG1>Akram was wanted by the nia to be alive</ARG1> <SIG0>as</SIG0> <ARG0>he could help resolve the case</ARG0> .', '<ARG1>Akram was wanted by the nia to be alive</ARG1> <SIG0>as</SIG0> <ARG0>clues could be provided in the case</ARG0> .', '<ARG1>Akram was wanted by the nia to be caught</ARG1> <SIG0>as</SIG0> <ARG0>he could give clues to the case</ARG0> .', '<ARG1>Akram was wanted by the nia to be caught</ARG1> <SIG0>as</SIG0> <ARG0>he could help resolve the case</ARG0> .', '<ARG1>Akram was wanted by the nia to be caught</ARG1> <SIG0>as</SIG0> <ARG0>clues could be provided in the case</ARG0> .']",0,0,0,0,0,0,0
8,"['<ARG1>There were two more arrests later</ARG1> <SIG0>for</SIG0> <ARG0>the person is alleged to be involved with the explosion</ARG0> .', '<ARG1>There were two more arrests later</ARG1> <SIG0>for</SIG0> <ARG0>the person is alleged to have been involved with the explosion</ARG0> .', ""<ARG1>There were two more arrests later</ARG1> <SIG0>for</SIG0> <ARG0>it's being said that they were involved with the explosion</ARG0> ."", '<ARG1>The two youths arrested were later released</ARG1> <SIG0>for</SIG0> <ARG0>the person is alleged to be involved with the explosion</ARG0> .', '<ARG1>The two youths arrested were later released</ARG1> <SIG0>for</SIG0> <ARG0>the person is alleged to have been involved with the explosion</ARG0> .', ""<ARG1>The two youths arrested were later released</ARG1> <SIG0>for</SIG0> <ARG0>it's being said that they were involved with the explosion</ARG0> ."", '<ARG1>There were two more arrests</ARG1> <SIG0>for</SIG0> <ARG0>the person is alleged to be involved with the explosion</ARG0> .', '<ARG1>There were two more arrests</ARG1> <SIG0>for</SIG0> <ARG0>the person is alleged to have been involved with the explosion</ARG0> .', ""<ARG1>There were two more arrests</ARG1> <SIG0>for</SIG0> <ARG0>it's being said that they were involved with the explosion</ARG0> .""]",0,0,0,0,0,0,0
9,"['<ARG1>There was a clash</ARG1> <SIG0>over</SIG0> <ARG0>the field is being used</ARG0> .', '<ARG1>There was a clash</ARG1> <SIG0>over</SIG0> <ARG0>the field is used</ARG0> .', '<ARG1>There was a clash</ARG1> <SIG0>over</SIG0> <ARG0>the field can be used</ARG0> .', '<ARG1>There was a clash in the place</ARG1> <SIG0>over</SIG0> <ARG0>the field is being used</ARG0> .', '<ARG1>There was a clash in the place</ARG1> <SIG0>over</SIG0> <ARG0>the field is used</ARG0> .', '<ARG1>There was a clash in the place</ARG1> <SIG0>over</SIG0> <ARG0>the field can be used</ARG0> .', '<ARG1>There was a fight in the place</ARG1> <SIG0>over</SIG0> <ARG0>the field is being used</ARG0> .', '<ARG1>There was a fight in the place</ARG1> <SIG0>over</SIG0> <ARG0>the field is used</ARG0> .', '<ARG1>There was a fight in the place</ARG1> <SIG0>over</SIG0> <ARG0>the field can be used</ARG0> .']",0,0,0,0,0,0,0
