text,label
"The State alleged they hacked Sabata Petros Chale , 39 , to death in Marikana West , on December 8 , 2016 , allegedly over the allocation of low cost ( RDP ) houses at Marikana West Extension 2 .",1
"Police opened fire , killing 34 striking workers and wounding 78 while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 .",1
"The three-member Farlam Commission , chaired by retired judge Ian Farlam , was established by President Jacob Zuma to probe into the violence and the deaths of 44 people in wage-related protests .",1
"Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers ' protest in the area .",1
"The protests spread to 15 other towns and resulted in two deaths and the destruction of property .",1
"The farmworkers ' strike resumed on Tuesday when their demands were not met .",1
"NHAI Case : Cops Fail to Produce Accused in Court 10th September 2015 03:49 AM KOCHI : Anoop George , the main accused in the case related to attack on the office of the National Highway Authority of India ( NHAI ) at Kalamassery , could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday , after jail authorities in Coimbatore failed to arrange escort for him .",1
"The NSS Karayogams were attacked in Thrissur and Thiruvananthapuram after NSS secretary Sukumaran Nair had said that the NSS did not support the LDF in the recent Assembly elections , as it did not want Achuthanandan to come back to power for another term .",1
"The attack on Karayogams had sparked sharp reactions from the CPM leaders .",1
"Mpofu said Lt-Col Kaizer Modiba was fabricating his evidence about the violence during the mineworkers ' strike at Marikana , near Rustenburg in the North West , because he had not been in a position to witness an attack .",1
"`` I observed the attack on the police , I have no doubt about it , '' Modiba said during cross-examination .",1
"On August 16 , 2012 , 34 people , mostly mineworkers , were shot dead in a clash with police who were trying to disarm and disperse them .",1
"Cubbon Park Walkers Oppose Government Move 08th January 2014 07:49 AM Members of the Cubbon Park Walkers ’ Association on Tuesday held a candlelight protest against the state government ’ s plan to set up a Cubbon Park Development Authority .",1
"IIT Row : PSI Brandishes Pistol at Protesters 02nd October 2015 03:39 AM RAICHUR : The ongoing agitation against the Centre ’ s decision to set up the state ’ s first IIT at Dharwad took an ugly turn on Thursday after West Police Station PSI Agni allegedly assaulted a lorry driver and brandished his service revolver at the agitators during a protest by the lorry owners ’ association here .",1
"The lorry owners ’ association was staging a protest by blocking the road near Ambedkar Circle .",1
"On Tuesday night tens of thousands of demonstrators packed the city ’ s downtown area for a third night as protest leaders warned they would step up their actions if Hong Kong ’ s chief executive , Leung Chun-ying , did not meet them by midnight .",1
"September 14 , 2012 00:00 IST Her absence from Vijayamma ’ s protest meet gives credence to rumours Rumour mills are abuzz in Warangal hinting that YSR Congress party leader and former Minister Konda Surekha may join the Congress soon .",1
"Then on Thursday , some pupils returned to classes after having spent months out of school as residents protested against the Municipal Demarcation Board 's decision to include their areas under a new municipality .",1
"Addressing a massive public rally at Vandalur , around 40 km from here , Modi said : " The central government should be strong , only then the neighbouring countries will be friendly with us . " Accusing the United Progressive Alliance ( UPA ) government of adopting a confrontationist attitude towards the states , he said it has been demolishing the constitutional institutions whereas the need of the hour is a cooperative attitude .",1
"If it does , when you ’ re confronting an enemy that beheads people and wants to put nuclear bombs in our subways , then waterboarding is well within the rules. ” Trump faced a backlash in March when he referred to the 1989 Tiananmen Square protests as a “ riot ” .",1
"Protesting the unethical ban , hundreds of Bengal traders launched an agitation on Monday and threatened to intensify it , if the matter is not resolved soon .",1
"The neighbouring State apparently relented after 500 trucks carrying vegetables , eggs , fishes and other perishable items from Andhra Pradesh were detained by BJD activists at various places in Balasore .",1
"The strike began on September 9 , with Numsa demanding a double-digit percentage increase .",1
"Authorities yesterday said they would scrap the 10.4 billion yuan ( HK $ 12.7 billion ) project , the subject of demonstrations by tens of thousands of Shifang residents .",1
"' Once the damage is done , it is long-lasting and not remediable . ' The massive three-day protest this week was the latest in a series of grass-roots demonstrations over polluting projects , as mainlanders have gained awareness in recent years of environmental and health concerns associated with pollution .",1
"Last summer , tens of thousands of people in the northeastern city of Dalian , Liaoning , marched to demand the relocation of a chemical plant .",1
"And in June 2007 , over 20,000 people rallied in Xiamen , a coastal city in Fujian province , to protest against plans to built a paraxylene chemical plant in the city .",1
"Following the Xiamen incident , the ' not in my backyard ' mentality sparked similar protests in several mainland cities , including Dalian , Guangzhou and Shantou .",1
"Analysts say the mainland public has taken to such protests because they lack adequate channels to express their concerns about environmental risks posed by massive industrial projects .",1
"Ma Jun , director of the Institute of Public and Environmental Affairs in Beijing , said the Shifang protests came as a last resort for local residents to make their voices heard , as ' all other channels for public participation were ineffective ' .",1
"SRINAGAR : One killed , 100 injured in Valley September 01 , 2016 00:00 IST As curfew was lifted from all 10 districts , violence singed the Kashmir Valley on Wednesday , leaving a civilian dead and over 100 injured .",1
"The house of a PDP MP was torched in south Kashmir .",1
"But the locals said clashes between the residents and the Army started in the morning when the latter stopped the movement of fruit trucks in Rafiabad and Sopore , asking the drivers to ply only during the shutdown period .",1
"The action helped launch a 79-day street occupation that was described as the greatest challenge to China ’ s Communist rulers since the 1989 Tiananmen protests .",1
"More violence in TN district Posted : Wed Jun 25 1997 IST RAJAPALAYAM , June 23 : In continuing violence in TN 's Kamarajar district , one person was stabbed and buses being attacked .",1
"Some police personnel intervened and urged them to give up their protest - but to no avail .",1
"They poured out their woes to the reporters and photographers who reached the Police Stadium on hearing about the incident .",1
